Артикул(SKU),Наименование
100297,"iPhone 14 128Gb starlight, Dual: nano SIM + eSIM"
100298,"iPhone 14 128Gb purple, Dual: nano SIM + eSIM"
100299,"iPhone 14 128Gb midnight, Dual: nano SIM + eSIM"
100300,"iPhone 14 256Gb starlight, Dual: nano SIM + eSIM"
100301,"iPhone 14 256Gb midnight, Dual: nano SIM + eSIM"
100302,"iPhone 14 256Gb blue, Dual: nano SIM + eSIM"
100303,"iPhone 14 256Gb purple, Dual: nano SIM + eSIM"
100304,"iPhone 14 256Gb red, Dual: nano SIM + eSIM"
100305,"iPhone 14 plus 128Gb starlight, Dual: nano SIM + eSIM"
100306,"iPhone 14 plus 128Gb midnight, Dual: nano SIM + eSIM"
100307,"iPhone 14 plus 128Gb blue, Dual: nano SIM + eSIM"
100308,"iPhone 14 plus 128Gb purple, Dual: nano SIM + eSIM"
100309,"iPhone 14 plus 128Gb red, Dual: nano SIM + eSIM"
100310,"iPhone 14 plus 256Gb starlight, Dual: nano SIM + eSIM"
100311,"iPhone 14 plus 256Gb midnight, Dual: nano SIM + eSIM"
100312,"iPhone 14 plus 256Gb blue, Dual: nano SIM + eSIM"
100313,"iPhone 14 plus 256Gb purple, Dual: nano SIM + eSIM"
100314,"iPhone 14 plus 256Gb red, Dual: nano SIM + eSIM"
1,"iPhone 15 128Gb Black, Dual: nano SIM + eSIM"
d4u-iphone15-128-blue,"iPhone 15 128Gb Blue, Dual: nano SIM + eSIM"
d4u-iphone15-128-green,"iPhone 15 128Gb Green, Dual: nano SIM + eSIM"
d4u-iphone15-128-pink,"iPhone 15 128Gb Pink, Dual: nano SIM + eSIM"
d4u-iphone15-128-yellow,"iPhone 15 128Gb yellow, Dual: nano SIM + eSIM"
d4u-iphone-15-256-black,"iPhone 15 256Gb Black, Dual: nano SIM + eSIM"
d4u-iphone15-256-blue,"iPhone 15 256Gb Blue, Dual: nano SIM + eSIM"
d4u-iphone15-256-green,"iPhone 15 256Gb Green, Dual: nano SIM + eSIM"
d4u-iphone15-256-pink,"iPhone 15 256Gb Pink, Dual: nano SIM + eSIM"
d4u-iphone15-256-yellow,"iPhone 15 256Gb yellow, Dual: nano SIM + eSIM"
d4u-iphone15-512-black,"iPhone 15 512Gb Black, Dual: nano SIM + eSIM"
d4u-iphone15-512-blue,"iPhone 15 512Gb Blue, Dual: nano SIM + eSIM"
d4u-iphone15-512-green,"iPhone 15 512Gb Green, Dual: nano SIM + eSIM"
d4u-iphone15-512-pink,"iPhone 15 512Gb Pink, Dual: nano SIM + eSIM"
d4u-iphone15-512-yellow,"iPhone 15 512Gb yellow, Dual: nano SIM + eSIM"
d4u-iphone15-plus-128-black,"iPhone 15 Plus 128Gb Black, Dual: nano SIM + eSIM"
d4u-iphone15-plus-128-blue,"iPhone 15 Plus 128Gb Blue, Dual: nano SIM + eSIM"
d4u-iphone15-plus-128-green,"iPhone 15 Plus 128Gb Green, Dual: nano SIM + eSIM"
d4u-iphone15-plus-128-pink,"iPhone 15 Plus 128Gb Pink, Dual: nano SIM + eSIM"
d4u-iphone15-plus-128-yellow,"iPhone 15 Plus 128Gb Yellow, Dual: nano SIM + eSIM"
d4u-iphone15-plus-256-black,"iPhone 15 Plus 256Gb Black, Dual: nano SIM + eSIM"
d4u-iphone15-plus-256-blue,"iPhone 15 Plus 256Gb Blue, Dual: nano SIM + eSIM"
d4u-iphone15-plus-256-green,"iPhone 15 Plus 256Gb Green, Dual: nano SIM + eSIM"
d4u-iphone15-plus-256-pink,"iPhone 15 Plus 256Gb Pink, Dual: nano SIM + eSIM"
d4u-iphone15-plus-256-yellow,"iPhone 15 Plus 256Gb Yellow, Dual: nano SIM + eSIM"
d4u-iphone15-plus-512-black,"iPhone 15 Plus 512Gb Black, Dual: nano SIM + eSIM"
d4u-iphone15-plus-512-blue,"iPhone 15 Plus 512Gb Blue, Dual: nano SIM + eSIM"
d4u-iphone15-plus-512-green,"iPhone 15 Plus 512Gb Green, Dual: nano SIM + eSIM"
d4u-iphone15-plus-512-pink,"iPhone 15 Plus 512Gb Pink, Dual: nano SIM + eSIM"
d4u-iphone15-plus-512-yellow,"iPhone 15 Plus 512Gb yellow, Dual: nano SIM + eSIM"
d4u-iphone15-pro-128-black,"iPhone 15 Pro 128Gb Black Titanium, Dual: nano SIM + eSIM"
d4u-iphone15-pro-128-blue,"iPhone 15 Pro 128Gb Blue Titanium, Dual: nano SIM + eSIM"
d4u-iphone15-pro-128-grey,"iPhone 15 Pro 128Gb Natural Titanium, Dual: nano SIM + eSIM"
d4u-iphone15-pro-128-white,"iPhone 15 Pro 128Gb White Titanium, Dual: nano SIM + eSIM"
d4u-iphone15-pro-256-black,"iPhone 15 Pro 256Gb Black Titanium, Dual: nano SIM + eSIM"
d4u-iphone15-pro-256-blue,"iPhone 15 Pro 256Gb Blue Titanium, Dual: nano SIM + eSIM"
d4u-iphone15-pro-256-grey,"iPhone 15 Pro 256Gb Natural Titanium, Dual: nano SIM + eSIM"
d4u-iphone15-pro-256-white,"iPhone 15 Pro 256Gb White Titanium, Dual: nano SIM + eSIM"
d4u-iphone15-pro-512-black,"iPhone 15 Pro 512Gb Black Titanium, Dual: nano SIM + eSIM"
d4u-iphone15-pro-512-blue,"iPhone 15 Pro 512Gb Blue Titanium, Dual: nano SIM + eSIM"
d4u-iphone15-pro-512-grey,"iPhone 15 Pro 512Gb Natural Titanium, Dual: nano SIM + eSIM"
d4u-iphone15-pro-512-white,"iPhone 15 Pro 512Gb White Titanium, Dual: nano SIM + eSIM"
d4u-iphone15-pro-1024-black,"iPhone 15 Pro 1 TB Black Titanium, Dual: nano SIM + eSIM"
d4u-iphone15-pro-1024-blue,"iPhone 15 Pro 1 TB Blue Titanium, Dual: nano SIM + eSIM"
d4u-iphone15-pro-1024-grey,"iPhone 15 Pro 1 TB Natural Titanium, Dual: nano SIM + eSIM"
d4u-iphone15-pro-1024-white,"iPhone 15 Pro 1 TB White Titanium, Dual: nano SIM + eSIM"
d4u-iphone15-promax-256-black,"iPhone 15 Pro Max 256Gb Black Titanium, Dual: nano SIM + eSIM"
d4u-iphone15-promax-256-blue,"iPhone 15 Pro Max 256Gb Blue Titanium, Dual: nano SIM + eSIM"
d4u-iphone15-promax-256-grey,"iPhone 15 Pro Max 256Gb Natural Titanium, Dual: nano SIM + eSIM"
d4u-iphone15-promax-256-white,"iPhone 15 Pro Max 256Gb White Titanium, Dual: nano SIM + eSIM"
d4u-iphone15-promax-512-black,"iPhone 15 Pro Max 512Gb Black Titanium, Dual: nano SIM + eSIM"
d4u-iphone15-promax-512-blue,"iPhone 15 Pro Max 512Gb Blue Titanium, Dual: nano SIM + eSIM"
d4u-iphone15-promax-512-grey,"iPhone 15 Pro Max 512Gb Natural Titanium, Dual: nano SIM + eSIM"
d4u-iphone15-promax-512-white,"iPhone 15 Pro Max 512Gb White Titanium, Dual: nano SIM + eSIM"
d4u-iphone15-promax-1024-black,"iPhone 15 Pro Max 1 TB Black Titanium, Dual: nano SIM + eSIM"
d4u-iphone15-promax-1024-blue,"iPhone 15 Pro Max 1 TB Blue Titanium, Dual: nano SIM + eSIM"
d4u-iphone15-promax-1024-grey,"iPhone 15 Pro Max 1 TB Natural Titanium, Dual: nano SIM + eSIM"
d4u-iphone15-promax-1024-white,"iPhone 15 Pro Max 1 TB White Titanium, Dual: nano SIM + eSIM"
101013,"iphone 16 pro max 512Gb desert titanium, Dual: nano SIM + eSIM"
101014,"iphone 16 pro max 512Gb natural titanium, Dual: nano SIM + eSIM"
101015,"iphone 16 pro max 512Gb black titanium, Dual: nano SIM + eSIM"
101016,"iphone 16 pro max 512Gb white titanium, Dual: nano SIM + eSIM"
101017,"iphone 16 pro max 256Gb desert titanium, Dual: nano SIM + eSIM"
101018,"iphone 16 pro max 256Gb natural titanium, Dual: nano SIM + eSIM"
101019,"iphone 16 pro max 256Gb black titanium, Dual: nano SIM + eSIM"
101020,"iphone 16 pro max 256Gb white titanium, Dual: nano SIM + eSIM"
101021,"iphone 16 pro max 1TB desert titanium, Dual: nano SIM + eSIM"
101022,"iphone 16 pro max 1TB natural titanium, Dual: nano SIM + eSIM"
101023,"iphone 16 pro max 1TB black titanium, Dual: nano SIM + eSIM"
101024,"iphone 16 pro max 1TB white titanium, Dual: nano SIM + eSIM"
101025,"iphone 16 pro 128Gb desert titanium, Dual: nano SIM + eSIM"
101026,"iphone 16 pro 128Gb natural titanium, Dual: nano SIM + eSIM"
101027,"iphone 16 pro 128Gb black titanium, Dual: nano SIM + eSIM"
101028,"iphone 16 pro 128Gb white titanium, Dual: nano SIM + eSIM"
101029,"iphone 16 pro 256Gb desert titanium, Dual: nano SIM + eSIM"
